X.libraryId	max_intergenic	cutoffTPM	cutoffGenicTPM	cutoffFPKM	cutoffGenicFPKM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	ratioIntergenicCodingPresent	species	organism
SRX1383017	9.87366753	0.212244	0.217964977226339	0.149172237826324	0.170915867788515	55.187462804999	16692	30246	73.7594156585255	16157	21905	23.9532304279508	5183	21638	0.05	9544	Macaca mulatta
SRX1383018	9.87366753	0.271205	0.278169548410428	0.164016502796826	0.185836495509598	54.7642663492693	16564	30246	73.2892033782242	16054	21905	22.9318791015806	4962	21638	0.05	9544	Macaca mulatta
SRX1383019	9.87366753	0.250943	0.257042446129449	0.152148936267598	0.17175117623697	54.3906632281955	16451	30246	72.6409495548961	15912	21905	22.6730751455772	4906	21638	0.05	9544	Macaca mulatta
SRX1383020	9.87366753	0.235411	0.241214087536644	0.145669398829068	0.16512949827377	53.8054618792568	16274	30246	71.9607395571787	15763	21905	22.8533136149367	4945	21638	0.05	9544	Macaca mulatta
SRX1383021	9.87366753	0.248093	0.254123540502409	0.155406057405826	0.176793395402407	53.5475765390465	16196	30246	71.7507418397626	15717	21905	22.6499676495055	4901	21638	0.05	9544	Macaca mulatta
SRX1383022	9.87366753	0.250502	0.256821603685089	0.153006772605692	0.17359910759735	53.4880645374595	16178	30246	71.7370463364529	15714	21905	22.8995286070801	4955	21638	0.05	9544	Macaca mulatta
SRX1383023	9.87366753	0.238199	0.244420484814807	0.151116594443001	0.171796876701898	53.8550552139126	16289	30246	72.0657384158868	15786	21905	22.7377761345781	4920	21638	0.05	9544	Macaca mulatta
SRX1383024	9.87366753	0.245597	0.251780201219222	0.150942747806119	0.171180332743335	53.4682272035972	16172	30246	71.7050901620635	15707	21905	22.5298086699325	4875	21638	0.05	9544	Macaca mulatta
SRX1383025	9.87366753	0.252929	0.259334462365451	0.157032541313973	0.178088988642966	53.1376049725583	16072	30246	71.298790230541	15618	21905	22.3264627045013	4831	21638	0.05	9544	Macaca mulatta
SRX1383026	9.87366753	0.232474	0.238923095188099	0.152355389934751	0.173244773617285	53.9674667724658	16323	30246	72.0657384158868	15786	21905	22.6176171550051	4894	21638	0.05	9544	Macaca mulatta
SRX1383027	9.87366753	0.194446	0.198780808575921	0.126250404819314	0.141819079692823	53.8550552139126	16289	30246	72.1570417712851	15806	21905	22.8024771235789	4934	21638	0.05	9544	Macaca mulatta
SRX1383028	9.87366753	0.25986	0.266683459947623	0.155283528869574	0.176371782444326	53.7723996561529	16264	30246	71.9516092216389	15761	21905	22.9549865976523	4967	21638	0.05	9544	Macaca mulatta
SRX1383029	9.87366753	0.231927	0.237449056055671	0.145005852704235	0.164065162711003	53.7591747669113	16260	30246	72.052042912577	15783	21905	22.6453461502912	4900	21638	0.05	9544	Macaca mulatta
SRX1383030	9.87366753	0.24344973	0.249526668763832	0.149834840813055	0.169897718161727	53.4946769820803	16180	30246	71.7644373430724	15720	21905	22.7978556243645	4933	21638	0.05	9544	Macaca mulatta
