id	call
ENSMUSG00000014542	present
ENSMUSG00000014547	present
ENSMUSG00000014550	present
ENSMUSG00000014551	present
ENSMUSG00000014554	present
ENSMUSG00000014592	present
ENSMUSG00000014599	present
ENSMUSG00000014601	present
ENSMUSG00000014606	present
ENSMUSG00000014633	present
ENSMUSG00000014748	present
ENSMUSG00000014763	present
ENSMUSG00000014767	present
ENSMUSG00000014769	present
ENSMUSG00000014771	present
ENSMUSG00000014791	present
ENSMUSG00000014850	present
ENSMUSG00000014852	present
ENSMUSG00000014856	present
ENSMUSG00000014859	present
ENSMUSG00000014867	present
ENSMUSG00000014873	present
ENSMUSG00000014905	present
ENSMUSG00000014907	present
ENSMUSG00000014932	present
ENSMUSG00000014956	present
ENSMUSG00000014959	present
ENSMUSG00000014980	present
ENSMUSG00000015002	present
ENSMUSG00000015023	present
ENSMUSG00000015083	present
ENSMUSG00000015087	present
ENSMUSG00000015092	present
ENSMUSG00000015095	present
ENSMUSG00000015112	present
ENSMUSG00000015120	present
ENSMUSG00000015126	present
ENSMUSG00000015127	present
ENSMUSG00000015133	present
ENSMUSG00000015143	present
ENSMUSG00000015149	present
ENSMUSG00000015165	present
ENSMUSG00000015176	present
ENSMUSG00000015189	present
ENSMUSG00000015202	present
ENSMUSG00000015214	present
ENSMUSG00000015217	present
ENSMUSG00000015243	present
ENSMUSG00000015247	present
ENSMUSG00000015289	present
ENSMUSG00000015290	present
ENSMUSG00000015291	present
ENSMUSG00000015305	present
ENSMUSG00000015335	present
ENSMUSG00000015337	present
ENSMUSG00000015340	present
ENSMUSG00000015341	present
ENSMUSG00000015355	present
ENSMUSG00000015357	present
ENSMUSG00000015363	present
ENSMUSG00000015461	present
ENSMUSG00000015474	present
ENSMUSG00000015478	present
ENSMUSG00000015488	present
ENSMUSG00000015522	present
ENSMUSG00000015536	present
ENSMUSG00000015542	present
ENSMUSG00000015568	present
ENSMUSG00000015575	present
ENSMUSG00000015597	present
ENSMUSG00000015605	present
ENSMUSG00000015653	present
ENSMUSG00000015656	present
ENSMUSG00000015668	present
ENSMUSG00000015671	present
ENSMUSG00000015672	present
ENSMUSG00000015697	present
ENSMUSG00000015711	present
ENSMUSG00000015714	present
ENSMUSG00000015733	present
ENSMUSG00000015747	present
ENSMUSG00000015748	present
ENSMUSG00000015749	present
ENSMUSG00000015750	present
ENSMUSG00000015755	present
ENSMUSG00000015757	present
ENSMUSG00000015759	present
ENSMUSG00000015776	present
ENSMUSG00000015790	present
ENSMUSG00000015804	present
ENSMUSG00000015806	present
ENSMUSG00000015837	present
ENSMUSG00000015839	present
ENSMUSG00000015846	present
ENSMUSG00000015854	present
ENSMUSG00000015869	present
ENSMUSG00000015882	present
ENSMUSG00000015889	present
