JH602043.1_75786805_75806804 JH602043.1- 75786805-75806804	43.97
JH602043.1_75850125_75869284 JH602043.1+ 75850125-75869284	45.19
JH602043.1_75898638_75905072 JH602043.1+ 75898638-75905072	36.95
JH602043.1_76639001_76646345 JH602043.1- 76639001-76646345	53.55
JH602043.1_76954232_76962349 JH602043.1- 76954232-76962349	44.24
JH602043.1_76997209_77000836 JH602043.1+ 76997209-77000836	67.31
JH602043.1_77011914_77028280 JH602043.1+ 77011914-77028280	48.07
JH602043.1_77035526_77041171 JH602043.1- 77035526-77041171	59.69
JH602043.1_77121324_77128148 JH602043.1- 77121324-77128148	60.03
JH602043.1_77154251_77159315 JH602043.1+ 77154251-77159315	55.72
JH602043.1_77181551_77201550 JH602043.1- 77181551-77201550	47.13
JH602043.1_77314885_77331491 JH602043.1+ 77314885-77331491	53.51
JH602043.1_78289148_78299326 JH602043.1+ 78289148-78299326	50.04
JH602045.1_3149453_3159988 JH602045.1- 3149453-3159988	31.77
JH602045.1_5841431_5843304 JH602045.1+ 5841431-5843304	32.18
JH602045.1_8491620_8499213 JH602045.1+ 8491620-8499213	33.55
JH602045.1_10248850_10250343 JH602045.1+ 10248850-10250343	35.81
JH602045.1_13204091_13224090 JH602045.1- 13204091-13224090	39.72
JH602045.1_13482149_13486222 JH602045.1- 13482149-13486222	48.92
JH602045.1_13777371_13789439 JH602045.1+ 13777371-13789439	37.52
JH602045.1_13878099_13891209 JH602045.1- 13878099-13891209	43.27
JH602045.1_13905197_13914902 JH602045.1- 13905197-13914902	41.99
JH602045.1_14176857_14182632 JH602045.1- 14176857-14182632	46.09
JH602045.1_14281296_14294612 JH602045.1- 14281296-14294612	42.43
JH602045.1_14395264_14396419 JH602045.1+ 14395264-14396419	37.54
JH602045.1_14478615_14495797 JH602045.1+ 14478615-14495797	40.92
JH602045.1_14806368_14826367 JH602045.1+ 14806368-14826367	42.54
JH602045.1_15629865_15631018 JH602045.1- 15629865-15631018	50.78
JH602045.1_17418852_17425161 JH602045.1+ 17418852-17425161	38.45
JH602045.1_23479893_23491319 JH602045.1- 23479893-23491319	41.67
JH602045.1_24037939_24039026 JH602045.1- 24037939-24039026	39.43
JH602045.1_25095839_25107691 JH602045.1+ 25095839-25107691	34.31
JH602045.1_25749723_25763759 JH602045.1- 25749723-25763759	43.20
