1_25364748_25381030 1+ 25364748-25381030	40.98
1_25402481_25422480 1+ 25402481-25422480	40.98
1_25454469_25474468 1+ 25454469-25474468	39.77
1_25644798_25646499 1+ 25644798-25646499	37.60
1_25669567_25689566 1- 25669567-25689566	40.54
1_25708643_25728642 1+ 25708643-25728642	39.46
1_25989146_25990887 1+ 25989146-25990887	45.35
1_25992009_26000897 1+ 25992009-26000897	48.79
1_26011955_26029486 1- 26011955-26029486	39.45
1_26034368_26037161 1+ 26034368-26037161	41.27
1_26038266_26043164 1+ 26038266-26043164	37.70
1_26050209_26070208 1+ 26050209-26070208	37.59
1_26268337_26288336 1+ 26268337-26288336	40.48
1_26385905_26405904 1- 26385905-26405904	45.89
1_26490324_26509337 1+ 26490324-26509337	40.77
1_26565849_26585848 1+ 26565849-26585848	41.74
1_26726156_26746155 1- 26726156-26746155	38.73
