id	SRX109278	SRX109279	SRX1720957	SRX1720958
FBgn0039585	0.614510226	2.181786673	7.057289912	5.850160214
FBgn0039588	0	3.510411952	1.762749868	1.353838366
FBgn0039589	6.699402376	15.72936154	12.73746519	10.80374819
FBgn0039590	0.480985945	5.065807692	2.470815564	2.324311145
FBgn0039591	0	0.121402058	0.507541988	0.323414059
FBgn0039592	0	0	0	0
FBgn0039593	0	0	0.081406447	0.287814058
FBgn0039594	0.892863343	2.376658749	0.939323541	1.004242389
FBgn0039595	0.693148102	1.26818998	0.251794419	0.31461253
FBgn0039596	0.13217477	0.541483274	0.416658239	0.285176333
FBgn0039597	62.0973588	48.34146978	0	0
FBgn0039598	50.67477827	45.74881272	0	0
FBgn0039599	7.126425615	10.7534112	0	0
FBgn0039600	30.22585748	35.62074206	23.14616741	17.71643614
FBgn0039601	9.850006775	17.16167106	9.582828276	9.300601837
FBgn0039602	1.967788127	9.859389781	6.181057074	4.880857262
FBgn0039609	0	0	0.075351239	0
FBgn0039611	0	0.1276873	0	0
FBgn0039612	0	1.213326662	0.677452944	0.728246253
FBgn0039613	0	0.505546379	0	0.033864235
FBgn0039616	4.955960159	3.633237727	0.169323574	0.101200533
FBgn0039617	0	0.177027737	0	0.087716442
FBgn0039620	9.96303962	5.528563149	2.356938224	1.807412064
FBgn0039621	0	0	0.193642788	0
FBgn0039622	14.81807667	22.80686807	23.22846749	16.32568587
FBgn0039623	8.452820694	21.0012975	12.75337749	11.28525398
FBgn0039625	11.98729486	1.148183458	0	0.101066055
FBgn0039626	28.97346848	35.0091813	14.66983812	12.21478777
FBgn0039627	4.442846041	4.431072197	3.423548034	3.082104212
FBgn0039628	4.194003935	1.688177308	0.402002335	0.352008663
FBgn0039629	8.90615403	9.823575563	1.264887094	0.853057739
FBgn0039630	0	0	0	0.351788011
FBgn0039631	6.94932382	12.69462698	7.470895416	6.510094574
FBgn0039632	28.85989716	31.76628307	26.19229442	22.60956643
FBgn0039633	2.152875179	9.130029706	6.512838352	5.609306022
FBgn0039634	0.76838906	3.425551751	12.97700902	10.39725411
FBgn0039635	292.1180784	407.4187247	307.3365549	309.3255115
FBgn0039636	67.04979111	84.98287005	23.94122092	24.21750895
FBgn0039637	17.39779647	41.47764005	59.00888376	60.63529814
FBgn0039638	3.692740931	8.27942285	6.951968633	6.197706646
FBgn0039639	8.707990498	7.697845409	2.170409416	3.457558532
FBgn0039640	2.159823104	1.732783551	0.620111381	0.463502117
FBgn0039641	0	0.240716566	0.595413311	0.387867854
FBgn0039642	7.325543142	10.29486374	9.733814215	8.785234691
FBgn0039644	4.352660411	6.97729361	4.467262578	4.162667511
FBgn0039645	1.238620292	0.737296751	0.715851823	0.71844269
FBgn0039647	0.1521013	0.405868946	0.247115125	0.122508267
FBgn0039648	0	0	0	0
FBgn0039650	3.588445536	4.179189634	5.932638527	5.566196022
FBgn0039651	66.64201688	109.8003848	121.8938947	117.5736106
FBgn0039654	14.91483783	16.66654587	6.422358948	5.627637943
FBgn0039655	49.15832756	56.32652121	3.01270646	3.768897116
FBgn0039656	0	0.393003813	0.240741755	0.215333556
FBgn0039659	3.543978311	14.07903876	17.59106888	15.49146842
FBgn0039663	4.612840384	6.913780604	5.625567908	4.642528337
FBgn0039664	14.57043485	21.86851544	10.76378616	9.934743548
