libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	approach	cutoff	mean	standard_deviation
SRX4794872	0.44481	30.6913885455295	18622	60675	66.9153357031993	13365	19973	3.64008978237533	746	20494	pValueCutoff	0.05	0.0492388982035174	3.81175366555302
SRX4794872	1.24923	22.3650597445406	13570	60675	55.5499924898613	11095	19973	0.683126768810384	140	20494	qValueCutoff	0.05	NA	NA
SRX4794873	16.00494	4.20766378244747	2553	60675	11.7258298703249	2342	19973	0.0487947692007417	10	20494	pValueCutoff	0.001	0.0675515077185499	5.86576113614597
SRX4794873	4.14109	12.8669138854553	7807	60675	35.1324287788514	7017	19973	0.136625353762077	28	20494	pValueCutoff	0.01	0.0675515077185499	5.86576113614597
SRX4794873	1.2400096	19.6769674495262	11939	60675	51.7098082411255	10328	19973	0.70264467649068	144	20494	pValueCutoff	0.05	0.0675515077185499	5.86576113614597
SRX4794873	1.26374	19.5797280593325	11880	60675	51.5195513943824	10290	19973	0.688006245730458	141	20494	qValueCutoff	0.05	NA	NA
SRX4794874	2.930157	17.5475896168109	10647	60675	46.6579882841837	9319	19973	0.131745876842003	27	20494	pValueCutoff	0.001	0.0492044112214814	3.75249291012803
SRX4794874	1.067119	26.1705809641533	15879	60675	61.0824613227858	12200	19973	0.883185322533425	181	20494	pValueCutoff	0.01	0.0492044112214814	3.75249291012803
SRX4794874	0.433188	33.9151215492377	20578	60675	69.6790667400991	13917	19973	3.89870205913926	799	20494	pValueCutoff	0.05	0.0492044112214814	3.75249291012803
SRX4794874	1.11439	25.8211784095591	15667	60675	60.6168327241776	12107	19973	0.81975212257246	168	20494	qValueCutoff	0.05	NA	NA
SRX4794906	2.865846	21.4470539761022	13013	60675	56.1808441395885	11221	19973	0.11710744608178	24	20494	pValueCutoff	0.001	0.0483509424578633	3.7470810726203
SRX4794906	1.045069	29.4289245982695	17856	60675	67.0605317178191	13394	19973	0.790475261052015	162	20494	pValueCutoff	0.01	0.0483509424578633	3.7470810726203
SRX4794906	0.4247606	36.9559126493614	22423	60675	74.0950282881891	14799	19973	3.66936664389577	752	20494	pValueCutoff	0.05	0.0483509424578633	3.7470810726203
SRX4794906	0.9536014	30.1656365883807	18303	60675	67.8265658639163	13547	19973	0.961256953254611	197	20494	qValueCutoff	0.05	NA	NA
SRX4794942	8.30048	14.3222084878451	8690	60675	40.084113553297	8006	19973	0.121986923001854	25	20494	pValueCutoff	0.001	0.0907274111636305	4.31092958824067
SRX4794942	2.71656	23.5896168108776	14313	60675	59.4102037750964	11866	19973	1.12715916853713	231	20494	pValueCutoff	0.01	0.0907274111636305	4.31092958824067
SRX4794942	1.0035626381	32.6493613514627	19810	60675	69.4387423021078	13869	19973	4.45008295110764	912	20494	pValueCutoff	0.05	0.0907274111636305	4.31092958824067
SRX4794942	2.67706	23.7033374536465	14382	60675	59.5553997897161	11895	19973	1.1710744608178	240	20494	qValueCutoff	0.05	NA	NA
SRX4794949	10.8893	1.07952204367532	655	60675	2.64857557702899	529	19973	0.0731921538011125	15	20494	pValueCutoff	0.001	0.0826880324465854	4.84969031884633
SRX4794949	3.25691	3.66213432220849	2222	60675	9.55790316927853	1909	19973	0.404996584366156	83	20494	pValueCutoff	0.01	0.0826880324465854	4.84969031884633
SRX4794949	1.1100532	8.47630819942316	5143	60675	22.1899564411956	4432	19973	1.59558895286425	327	20494	pValueCutoff	0.05	0.0826880324465854	4.84969031884633
SRX4794949	64.1047	0.181293778327153	110	60675	0.245331197116107	49	19973	0.00487947692007417	1	20494	qValueCutoff	0.05	NA	NA
SRX815513	3.199015	29.3300370828183	17796	60675	57.5526961397887	11495	19973	0.170781692202596	35	20494	pValueCutoff	0.001	0.166753366195606	2.60089909615426
SRX815513	1.54098	37.2393901936547	22595	60675	65.1078956591398	13004	19973	0.800234214892164	164	20494	pValueCutoff	0.01	0.166753366195606	2.60089909615426
SRX815513	0.803515	44.1450350226617	26785	60675	70.7905672658088	14139	19973	3.2497316287694	666	20494	pValueCutoff	0.05	0.166753366195606	2.60089909615426
SRX815513	0.973822	42.1985990935311	25604	60675	69.1483502728684	13811	19973	2.13721089099249	438	20494	qValueCutoff	0.05	NA	NA
SRX815514	1.544442	29.9316028018129	18161	60675	59.3601361838482	11856	19973	0.195179076802967	40	20494	pValueCutoff	0.001	0.0778713348143897	2.62916357290879
SRX815514	0.737953	37.6415327564895	22839	60675	66.6800180243329	13318	19973	0.824631599492534	169	20494	pValueCutoff	0.01	0.0778713348143897	2.62916357290879
SRX815514	0.381978	44.3955500618047	26937	60675	72.0372502878887	14388	19973	3.25949058260954	668	20494	pValueCutoff	0.05	0.0778713348143897	2.62916357290879
SRX815514	0.466661	42.4309847548414	25745	60675	70.3499724628248	14051	19973	2.16160827559286	443	20494	qValueCutoff	0.05	NA	NA
SRX815515	0.489958	34.1260815822002	20706	60675	69.3085665648626	13843	19973	0.224455938323412	46	20494	pValueCutoff	0.001	0.027503968677316	2.5394525198635
