libraryId	proportionCodingPresent	proportionGenicPresent	speciesId	organism
SRX632609	63.5758273669454	25.3712402142563	9606	Homo sapiens
SRX563018	64.5421318780353	26.9237742068397	9606	Homo sapiens
SRX624894	63.2403745055825	25.9299546765554	9606	Homo sapiens
SRX628472	61.9786712061283	25.7189946435929	9606	Homo sapiens
SRX637526	62.4192660091123	25.0383189122373	9606	Homo sapiens
SRX592909	65.8038351774896	27.0556242274413	9606	Homo sapiens
SRX598312	67.0505181995694	28.0527400082406	9606	Homo sapiens
SRX630347	62.0487658338757	25.303667078698	9606	Homo sapiens
SRX622235	59.8858458919541	23.3325092707046	9606	Homo sapiens
SRX568120	64.6272467831573	25.4668314791924	9606	Homo sapiens
SRX559288	63.1051920092124	25.9777503090235	9606	Homo sapiens
SRX564267	65.9740649877334	27.0885867325917	9606	Homo sapiens
SRX578967	62.8748810894708	26.0667490729295	9606	Homo sapiens
SRX625384	61.6482251038903	25.4454058508447	9606	Homo sapiens
SRX575504	64.7223752065288	26.4820766378245	9606	Homo sapiens
SRX621963	66.5198017323387	28.2604037906881	9606	Homo sapiens
SRX633481	66.1042407249787	27.0556242274413	9606	Homo sapiens
SRX599976	61.8635157462574	25.0482076637824	9606	Homo sapiens
SRX561370	60.5417313373054	23.962093119077	9606	Homo sapiens
SRX634067	61.3678465929004	23.9670374948496	9606	Homo sapiens
SRX636282	64.0114154108046	26.0733415739596	9606	Homo sapiens
SRX631598	62.2840835127422	24.7103419859909	9606	Homo sapiens
SRX641202	65.3532268562559	25.9678615574784	9606	Homo sapiens
SRX565937	60.111150052571	24.2620519159456	9606	Homo sapiens
SRX630726	62.6345566514795	24.8636176349403	9606	Homo sapiens
SRX599468	63.3405096880789	25.4585908529048	9606	Homo sapiens
SRX607591	60.7219746657988	24.6295838483725	9606	Homo sapiens
SRX621997	63.1352325639614	24.4763081994232	9606	Homo sapiens
SRX562423	63.3555299654534	25.6662546353523	9606	Homo sapiens
SRX580917	63.6258949581936	26.9402554594149	9606	Homo sapiens
SRX633286	63.585840885195	25.7519571487433	9606	Homo sapiens
SRX594139	61.1325289140339	24.2752369180058	9606	Homo sapiens
SRX564689	62.564462023732	25.4932014833127	9606	Homo sapiens
SRX613880	66.4997746958394	27.7775030902349	9606	Homo sapiens
SRX566534	60.2513393080659	25.9711578079934	9606	Homo sapiens
SRX632777	66.3245381264707	26.6666666666667	9606	Homo sapiens
SRX559445	63.7410504180644	27.2056036258756	9606	Homo sapiens
SRX563130	66.3495719220948	27.6489493201483	9606	Homo sapiens
SRX565873	62.0387523156261	24.6048619695097	9606	Homo sapiens
SRX630110	60.4716367095579	24.5208075813762	9606	Homo sapiens
SRX576741	66.6149301557102	27.4330449114133	9606	Homo sapiens
SRX601283	64.056476242928	26.9583848372476	9606	Homo sapiens
SRX560651	60.1812446803184	23.7692624639473	9606	Homo sapiens
SRX607160	64.5621589145346	26.5364647713226	9606	Homo sapiens
